Date,Open,High,Low,Close,Adj Close,Volume
01-01-2016,45.553741,49.422543,44.872616,49.0956,47.614208,10963906
04-01-2016,48.768658,50.158157,45.907928,46.371094,44.971912,9408965
05-01-2016,46.670792,48.823151,45.880684,48.278248,46.821522,9801814
06-01-2016,47.951309,48.468964,46.480076,46.99773,45.579639,7093448
07-01-2016,46.262115,46.262115,42.502296,43.564854,42.250347,8919023
08-01-2016,44.6819,45.226803,43.946285,44.6819,43.333683,6409374
11-01-2016,44.136997,45.717213,42.992706,44.872616,43.518646,7610929
12-01-2016,44.872616,45.635475,43.319649,44.028019,42.699535,7187524
13-01-2016,44.572922,46.643543,42.066376,44.055264,42.725952,14813664
14-01-2016,43.019951,44.136997,42.148109,42.393314,41.114155,8517248
15-01-2016,42.720257,43.483116,40.2682,40.540649,39.31739,6162841
18-01-2016,40.213711,40.48616,37.162262,38.197575,37.045013,6988884
19-01-2016,38.987682,40.104729,38.088596,39.505341,38.31332,5936602
20-01-2016,38.44278,39.014927,36.753586,37.489204,36.358017,5302168
21-01-2016,38.361046,39.205643,37.053284,37.925125,36.780788,6301101
22-01-2016,38.497272,40.595142,38.497272,40.186466,38.9739,6412547
25-01-2016,40.567898,41.085552,39.614319,40.377182,39.158859,3702771
27-01-2016,40.75861,40.97657,39.668808,39.914017,38.709663,3456780
28-01-2016,40.131973,40.295444,38.987682,39.260132,38.075508,3743917
29-01-2016,39.260132,39.968506,38.252068,39.696053,38.49828,4584955
01-02-2016,40.077484,42.665768,39.99575,40.622387,39.39666,14301204
02-02-2016,40.431671,40.731365,38.796967,39.260132,38.075508,4281060
03-02-2016,40.404427,40.595142,38.796967,39.205643,38.022663,9088526
04-02-2016,39.614319,40.104729,38.769722,39.369114,38.181206,4395526
05-02-2016,39.396358,40.704121,39.123909,40.159222,38.947475,4563542
08-02-2016,40.567898,43.428627,39.941261,41.140041,39.898701,12827236
09-02-2016,40.567898,41.412495,39.505341,40.867592,39.634472,7145205
10-02-2016,40.322689,40.595142,39.123909,39.423603,38.234055,5444984
11-02-2016,39.505341,39.614319,36.263176,36.998795,35.882408,6162865
12-02-2016,37.543694,37.543694,33.511425,34.982658,33.927105,8247087
15-02-2016,35.8545,37.271244,35.14613,35.609295,34.534832,8626379
16-02-2016,36.181442,36.34491,34.138062,34.356022,33.319374,7678551
17-02-2016,34.410511,34.764698,32.966522,34.356022,33.319374,6460857
18-02-2016,34.873676,35.227863,33.375198,34.110817,33.081566,5831539
19-02-2016,34.110817,34.628471,33.702141,34.301533,33.266529,4855147
22-02-2016,34.764698,34.873676,33.647652,33.947346,32.923031,4339569
23-02-2016,34.219795,34.247044,32.830299,33.184483,32.183186,5223434
24-02-2016,33.075504,34.219795,32.476112,33.293465,32.288883,6110278
25-02-2016,33.647652,33.783875,32.612339,32.803055,31.813271,5504340
26-02-2016,33.26622,33.565914,32.230907,32.966522,31.971802,4739308
29-02-2016,33.075504,33.402447,31.713251,32.012947,31.047001,8277215
01-03-2016,32.149174,33.456936,31.931211,33.102749,32.103916,6846633
02-03-2016,33.783875,34.900925,33.293465,34.029079,33.002304,9313684
03-03-2016,34.328777,34.601227,33.429691,34.056328,33.028728,7706783
04-03-2016,34.328777,35.227863,34.056328,34.437756,33.398643,9013442
08-03-2016,34.601227,35.14613,33.920101,34.900925,33.847836,11091171
09-03-2016,34.601227,36.426647,34.383266,36.181442,35.089714,7364105
10-03-2016,36.535625,36.78083,35.36409,35.527561,34.455566,5795786
11-03-2016,35.527561,36.399403,35.309601,35.663784,34.587681,4388832
14-03-2016,35.990726,36.317665,35.227863,35.827255,34.746216,9639983
15-03-2016,36.126949,36.998795,35.963482,36.290421,35.195408,13157445
16-03-2016,36.998795,37.216751,35.58205,36.017971,34.931179,6623525
17-03-2016,36.508381,37.652676,36.126949,36.699097,35.591751,6197000
18-03-2016,36.808079,37.843391,36.671852,37.543694,36.41087,4953618
21-03-2016,37.107773,37.870636,36.944302,37.380222,36.252327,4441860
22-03-2016,37.516449,37.625427,36.699097,37.325733,36.59103,3518755
23-03-2016,37.352978,39.396358,37.189507,38.796967,38.033314,9235585
28-03-2016,38.933193,39.06942,37.080528,37.271244,36.537621,4467554
29-03-2016,37.243999,37.598183,36.535625,36.862568,36.13699,2954449
30-03-2016,37.080528,39.77779,37.053284,39.505341,38.727737,7701201
31-03-2016,39.668808,40.813103,39.505341,40.213711,39.422161,9873493
01-04-2016,40.077484,42.338825,39.668808,41.466984,40.650772,7591623
04-04-2016,43.265156,44.600166,43.156178,43.891792,43.027855,12870242
05-04-2016,44.300468,44.300468,40.322689,40.567898,39.769386,15609107
06-04-2016,40.704121,41.603207,40.567898,41.140041,40.330269,8288100
07-04-2016,41.684944,42.066376,40.840347,41.303513,40.49052,8449410
08-04-2016,40.922081,42.992706,40.922081,42.638519,41.799248,5535709
11-04-2016,42.665768,43.810059,41.712189,43.537609,42.680641,9178024
12-04-2016,43.592098,44.245979,42.774746,43.128933,42.280003,5169116
13-04-2016,43.837303,44.46394,42.965462,43.891792,43.027855,8758910
18-04-2016,44.273224,45.662724,44.245979,45.199554,44.309868,6639271
20-04-2016,45.417519,46.316605,45.254047,45.880684,44.977592,9906061
21-04-2016,46.316605,46.316605,44.763634,45.335781,44.44342,7968200
22-04-2016,44.95435,45.417519,44.491184,44.709145,43.829117,2894785
25-04-2016,44.709145,45.472008,44.028019,45.145065,44.256458,4414513
26-04-2016,44.6819,46.098644,44.6819,45.907928,45.004307,7920306
27-04-2016,45.880684,47.297424,45.608231,46.725281,45.805569,6246060
28-04-2016,46.970486,47.106712,45.499252,45.689968,44.790634,15756725
29-04-2016,45.771702,48.38723,45.335781,47.242935,46.313038,6954309
02-05-2016,47.024975,48.305492,46.044151,47.433651,46.499996,8407771
03-05-2016,47.406406,48.114777,46.534565,46.807014,45.885693,3210334
04-05-2016,46.915997,47.024975,42.774746,43.128933,42.280003,20822656
05-05-2016,42.774746,44.028019,41.684944,42.556786,41.719124,9217609
06-05-2016,42.447803,42.665768,41.412495,41.821171,40.997986,4208863
09-05-2016,42.09362,42.720257,41.821171,42.175354,41.345196,3602403
10-05-2016,42.229843,42.393314,40.704121,40.97657,40.170013,4712978
11-05-2016,40.295444,41.766678,39.805035,40.48616,39.689255,6481488
12-05-2016,40.704121,41.466984,40.595142,41.249023,40.437103,2523613
13-05-2016,41.031063,41.930149,38.333801,39.968506,39.181789,6561921
16-05-2016,40.2682,41.739433,39.941261,41.494228,40.677483,5208855
17-05-2016,41.575962,41.575962,40.567898,40.840347,40.036469,2650065
18-05-2016,40.322689,41.684944,40.022995,40.840347,40.036469,4061224
19-05-2016,40.840347,40.840347,38.687988,38.960438,38.193562,4148628
20-05-2016,39.396358,39.478092,37.325733,37.543694,36.804707,5822513
23-05-2016,37.870636,38.905949,37.734409,37.979614,37.232048,4193119
24-05-2016,37.925125,38.769722,37.598183,38.44278,37.686089,3990547
25-05-2016,38.742477,39.014927,38.306557,38.742477,37.979893,2631012
26-05-2016,38.960438,40.75861,38.769722,40.377182,39.582424,3692219
27-05-2016,40.431671,41.412495,39.55983,39.968506,39.181789,3452128
30-05-2016,40.2682,41.003819,39.641563,40.676876,39.876217,2433947
31-05-2016,41.058308,41.058308,39.178398,39.696053,38.914696,6312199
01-06-2016,39.77779,42.120865,39.55983,40.949326,40.143303,9021732
02-06-2016,41.466984,41.630451,40.431671,41.167286,40.356972,5390009
03-06-2016,41.412495,41.793922,38.933193,39.260132,38.487354,5454098
06-06-2016,39.260132,39.723297,38.197575,39.396358,38.620903,5051899
