Date,Open,High,Low,Last,Close,Volume,Turnover
27-11-2007,770,1050,770,959,962.9,27294366,2.68772E+15
28-11-2007,984,990,874,885,893.9,4581338,4.31277E+14
29-11-2007,909,914.75,841,887,884.2,5124121,4.55066E+14
30-11-2007,890,958,890,929,921.55,4609762,4.28326E+14
03-12-2007,939.75,995,922,980,969.3,2977470,2.8752E+14
04-12-2007,985,1056,976,1049,1041.45,4849250,4.92387E+14
05-12-2007,1061,1099.5,1050,1084,1082.45,2848209,3.08401E+14
06-12-2007,1089,1109.7,1051,1090.1,1081.3,1749516,1.90177E+14
07-12-2007,1100,1134,1078,1100,1102.4,2247904,2.48747E+14
10-12-2007,1110,1110,1061.1,1073.55,1075.4,1012350,1.09373E+14
11-12-2007,1081,1089,1041,1046,1047.65,810464,8.65416E+13
12-12-2007,1032,1065,1016,1036.9,1036.8,744799,7.77514E+13
13-12-2007,1040,1150,1030.25,1131.15,1129.95,3067687,3.40234E+14
14-12-2007,1139.9,1140,1101.1,1107,1110.5,1070737,1.19875E+14
17-12-2007,1140,1168,1021.5,1052,1044.25,1404955,1.54885E+14
18-12-2007,1045,1109.9,1031.55,1085,1074.95,1226984,1.3225E+14
19-12-2007,1091,1116,1046.3,1078,1066.9,845666,9.15798E+13
20-12-2007,1083.5,1083.5,1051,1067,1060.2,623288,6.64127E+13
24-12-2007,1095,1192,1085.25,1160,1156.8,2060892,2.39221E+14
26-12-2007,1175,1214,1148,1212,1199.9,1467031,1.73594E+14
27-12-2007,1215,1240,1204,1209,1211.65,977495,1.19506E+14
28-12-2007,1189.4,1274,1175,1270,1249.1,1164138,1.42177E+14
31-12-2007,1263.35,1295,1261,1268,1268.8,737249,9.41942E+13
01-01-2008,1279,1319,1263.7,1308,1296.85,491348,6.31735E+13
02-01-2008,1310.25,1324,1270,1300.15,1307.45,703815,9.16473E+13
03-01-2008,1305,1314.7,1261.15,1267.15,1275.8,505058,6.51143E+13
04-01-2008,1278.8,1294.8,1233,1239.9,1240.35,550795,6.91817E+13
07-01-2008,1240,1278.9,1215,1233,1227.25,630963,7.85398E+13
08-01-2008,1240,1255,1185,1202,1204.8,530499,6.4566E+13
09-01-2008,1200,1210,1151,1181,1180.25,627507,7.38183E+13
10-01-2008,1185,1199.8,1110,1118,1121.55,438806,5.07452E+13
11-01-2008,1128,1130,1063,1096,1085.85,616938,6.71093E+13
14-01-2008,1082.4,1082.4,1031.1,1035,1035.15,835916,8.71357E+13
15-01-2008,1045.6,1078.7,1036.05,1057,1049.55,830493,8.72593E+13
16-01-2008,1046,1064,1000,1038.3,1030.4,816188,8.43006E+13
17-01-2008,1050,1053.5,1011,1014.95,1020.9,336003,3.47335E+13
18-01-2008,1010,1072,974.9,995,994.6,676854,6.92133E+13
21-01-2008,995,1005,795.7,853,825.05,788623,6.94599E+13
22-01-2008,700,810,660.05,739,735.55,546161,3.84061E+13
23-01-2008,760,881.9,760,862.2,857,535462,4.38365E+13
24-01-2008,875,935,812,814.7,814.15,511017,4.36833E+13
25-01-2008,820,883,820,866,865.7,404045,3.46803E+13
28-01-2008,835,835,783.2,822,820.8,467052,3.75686E+13
29-01-2008,840,860,820.05,840,840.75,220070,1.85138E+13
30-01-2008,849.8,864,822.25,834,830.45,286190,2.38631E+13
31-01-2008,831,849.9,812.55,836.6,837.65,194300,1.61966E+13
01-02-2008,831.65,852.3,820,826,825.35,204391,1.69255E+13
04-02-2008,847.9,872.4,840,859,856.1,280230,2.40652E+13
05-02-2008,856,857,830,834.65,834.3,162093,1.36492E+13
06-02-2008,803,824.9,780,809,807.5,193260,1.56638E+13
07-02-2008,825,830,792,795.9,796.25,212932,1.72376E+13
08-02-2008,810,830,765.15,786,784.05,285025,2.22743E+13
11-02-2008,785,785,695,699,711.2,223955,1.64883E+13
